latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.989452,-6.8539124,57.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-04-23,14.2,1.10,3.72,0.255,0.181
1990-04-24,14.6,1.20,3.93,0.253,0.181
1990-04-25,15.0,0.00,4.18,0.251,0.176
1990-04-26,16.2,0.30,4.07,0.249,0.164
1990-04-27,18.0,2.00,4.51,0.247,0.162
1990-04-28,16.2,2.00,3.49,0.246,0.174
1990-04-29,15.4,16.50,2.61,0.251,0.250
1990-04-30,16.0,0.10,3.67,0.255,0.302
1990-05-01,16.4,0.00,3.75,0.253,0.272
1990-05-02,17.9,0.60,4.47,0.250,0.246
1990-05-03,19.8,0.00,4.89,0.247,0.220
1990-05-04,19.9,0.30,4.85,0.244,0.195
1990-05-05,18.6,0.00,4.58,0.241,0.175
1990-05-06,17.8,0.00,3.45,0.239,0.161
1990-05-07,18.4,0.00,4.38,0.236,0.150
1990-05-08,18.0,4.20,2.96,0.237,0.170
1990-05-09,17.8,10.30,2.11,0.244,0.285
1990-05-10,17.6,14.00,2.26,0.252,0.352
1990-05-11,17.9,0.00,3.59,0.254,0.326
1990-05-12,17.8,0.10,3.10,0.251,0.291
1990-05-13,18.5,0.00,4.28,0.249,0.263
1990-05-14,18.3,0.00,4.50,0.245,0.233
1990-05-15,19.0,3.10,4.50,0.244,0.229
1990-05-16,18.4,7.80,3.46,0.244,0.249
1990-05-17,17.8,0.00,4.06,0.243,0.245
1990-05-18,18.1,0.00,4.27,0.240,0.219
1990-05-19,18.2,0.00,3.89,0.237,0.197
1990-05-20,17.8,0.00,4.73,0.235,0.178
1990-05-21,17.5,0.00,4.67,0.232,0.161
1990-05-22,17.9,0.00,4.36,0.230,0.149
1990-05-23,17.7,0.00,4.53,0.227,0.139
1990-05-24,17.7,0.00,4.85,0.225,0.129
1990-05-25,18.6,0.00,5.02,0.223,0.121
1990-05-26,19.7,0.00,5.16,0.221,0.114
1990-05-27,19.8,0.00,4.82,0.219,0.110
1990-05-28,20.9,0.00,5.32,0.217,0.106
1990-05-29,24.4,0.00,8.34,0.215,0.103
1990-05-30,22.6,0.00,5.86,0.213,0.100
1990-05-31,23.4,0.10,5.82,0.211,0.099
1990-06-01,22.6,0.00,5.65,0.210,0.100
1990-06-02,20.4,0.00,3.50,0.209,0.104
1990-06-03,20.3,0.20,3.64,0.208,0.105
1990-06-04,19.5,8.90,3.70,0.211,0.165
1990-06-05,19.1,0.00,3.85,0.211,0.172
1990-06-06,19.2,0.00,4.92,0.209,0.156
1990-06-07,19.9,0.00,5.28,0.207,0.138
1990-06-08,21.4,0.00,5.34,0.204,0.124
1990-06-09,21.0,0.00,5.05,0.202,0.113
1990-06-10,19.4,0.00,3.59,0.201,0.107
1990-06-11,19.4,0.00,4.57,0.200,0.104
1990-06-12,19.7,0.00,4.81,0.199,0.101
1990-06-13,20.1,0.00,4.27,0.197,0.099
1990-06-14,20.3,0.00,5.31,0.196,0.099
1990-06-15,19.9,0.00,4.47,0.195,0.098
1990-06-16,19.9,0.00,4.67,0.194,0.098
1990-06-17,19.5,0.00,5.34,0.193,0.098
1990-06-18,20.1,0.00,5.42,0.192,0.098
1990-06-19,20.3,0.00,5.32,0.191,0.097
1990-06-20,20.6,0.20,4.58,0.191,0.100
1990-06-21,20.2,0.00,4.99,0.190,0.101
1990-06-22,20.0,0.00,5.10,0.189,0.099
1990-06-23,21.5,0.00,5.21,0.188,0.098
1990-06-24,22.5,0.00,5.36,0.187,0.098
1990-06-25,22.7,0.00,5.10,0.186,0.097
1990-06-26,22.3,0.00,5.43,0.185,0.097
1990-06-27,21.4,0.00,4.92,0.185,0.097
1990-06-28,21.3,0.00,5.18,0.184,0.097
1990-06-29,21.4,0.00,5.32,0.183,0.097
1990-06-30,22.4,0.00,5.44,0.182,0.097
1990-07-01,22.3,0.00,5.46,0.181,0.097
1990-07-02,22.2,0.00,5.63,0.181,0.097
1990-07-03,22.2,0.00,5.54,0.180,0.097
1990-07-04,23.2,0.00,5.55,0.179,0.097
1990-07-05,23.5,0.00,5.48,0.178,0.097
1990-07-06,23.0,0.00,5.55,0.178,0.097
1990-07-07,23.1,0.00,5.56,0.177,0.097
1990-07-08,25.4,0.00,6.13,0.176,0.097
1990-07-09,25.6,0.00,5.83,0.175,0.096
1990-07-10,25.6,0.00,5.77,0.175,0.096
1990-07-11,24.8,0.00,5.51,0.174,0.096
1990-07-12,23.4,0.00,5.22,0.173,0.097
1990-07-13,22.1,0.00,4.72,0.173,0.098
1990-07-14,21.1,0.00,4.69,0.172,0.098
1990-07-15,21.4,0.00,5.16,0.172,0.098
1990-07-16,24.9,0.00,7.25,0.171,0.097
1990-07-17,27.6,0.00,8.36,0.171,0.097
1990-07-18,26.3,0.00,6.24,0.170,0.096
1990-07-19,24.7,0.00,5.42,0.169,0.096
1990-07-20,25.4,0.00,5.47,0.169,0.096
1990-07-21,27.7,0.00,4.90,0.168,0.097
1990-07-22,29.4,0.40,5.71,0.168,0.098
1990-07-23,29.2,0.00,5.50,0.167,0.098
1990-07-24,27.1,0.00,6.00,0.166,0.097
1990-07-25,25.1,0.00,5.15,0.166,0.097
1990-07-26,24.2,0.00,5.39,0.165,0.097
1990-07-27,22.8,0.00,5.42,0.165,0.096
1990-07-28,22.6,0.00,5.01,0.164,0.097
1990-07-29,23.4,0.00,5.56,0.164,0.097
1990-07-30,25.3,0.00,5.59,0.163,0.097
1990-07-31,25.7,0.00,5.48,0.163,0.097
1990-08-01,25.9,0.00,5.50,0.163,0.096
1990-08-02,26.2,0.00,5.77,0.162,0.096
1990-08-03,29.1,0.00,6.34,0.162,0.096
1990-08-04,30.4,0.00,7.33,0.161,0.096
1990-08-05,30.8,0.00,9.46,0.161,0.096
1990-08-06,29.0,0.00,7.69,0.160,0.096
1990-08-07,24.8,0.00,5.76,0.160,0.096
1990-08-08,23.9,0.00,5.33,0.159,0.096
1990-08-09,23.9,0.00,5.26,0.159,0.096
1990-08-10,25.4,0.00,5.38,0.159,0.096
1990-08-11,26.4,0.00,5.62,0.158,0.096
1990-08-12,25.6,0.00,5.39,0.158,0.096
1990-08-13,24.7,0.00,5.12,0.157,0.096
1990-08-14,24.3,0.00,5.25,0.157,0.097
1990-08-15,23.6,0.00,5.21,0.157,0.097
1990-08-16,23.6,0.00,5.24,0.157,0.097
1990-08-17,24.5,0.00,5.38,0.156,0.096
1990-08-18,25.0,0.00,5.36,0.156,0.096
1990-08-19,23.9,0.00,4.67,0.156,0.097
1990-08-20,23.2,0.00,4.58,0.156,0.097
1990-08-21,22.8,0.00,4.92,0.156,0.097
1990-08-22,22.6,0.00,4.88,0.155,0.097
1990-08-23,23.3,0.00,5.05,0.155,0.097
1990-08-24,24.3,0.00,4.98,0.155,0.097
1990-08-25,24.9,0.00,5.42,0.155,0.096
1990-08-26,24.9,0.00,5.39,0.154,0.096
1990-08-27,27.1,0.00,6.04,0.154,0.096
1990-08-28,26.3,0.00,5.41,0.154,0.096
1990-08-29,23.2,0.00,4.61,0.153,0.097
1990-08-30,23.0,0.00,4.44,0.153,0.097
1990-08-31,23.0,0.00,4.68,0.153,0.097
1990-09-01,22.8,0.00,4.72,0.153,0.097
1990-09-02,23.1,0.00,4.62,0.153,0.097
1990-09-03,23.7,0.40,3.03,0.153,0.102
1990-09-04,24.3,0.00,3.69,0.153,0.103
1990-09-05,24.3,0.00,3.73,0.153,0.100
1990-09-06,23.6,1.10,3.75,0.153,0.103
1990-09-07,22.6,1.10,3.63,0.153,0.110
1990-09-08,21.6,0.50,2.80,0.153,0.112
1990-09-09,22.1,0.00,4.46,0.153,0.109
1990-09-10,23.2,0.00,4.29,0.152,0.104
1990-09-11,24.2,0.00,4.15,0.152,0.102
1990-09-12,24.0,0.00,4.46,0.152,0.100
1990-09-13,23.4,0.00,4.24,0.152,0.098
1990-09-14,24.8,0.00,4.57,0.152,0.098
1990-09-15,24.5,0.00,4.06,0.152,0.097
1990-09-16,23.9,0.00,3.93,0.151,0.097
1990-09-17,22.7,2.60,3.82,0.151,0.104
1990-09-18,23.0,0.20,3.27,0.152,0.114
1990-09-19,23.0,0.70,3.62,0.152,0.112
1990-09-20,22.8,0.00,4.06,0.152,0.111
1990-09-21,23.5,0.00,4.16,0.151,0.105
1990-09-22,23.7,0.00,4.26,0.151,0.102
1990-09-23,22.6,0.00,3.39,0.151,0.100
1990-09-24,22.5,0.20,2.56,0.151,0.099
1990-09-25,21.9,2.10,3.49,0.152,0.115
1990-09-26,23.3,0.00,4.00,0.151,0.113
1990-09-27,27.0,0.00,3.70,0.151,0.108
1990-09-28,27.2,0.00,4.42,0.150,0.102
1990-09-29,24.4,0.00,3.82,0.150,0.099
1990-09-30,23.0,0.20,3.48,0.150,0.100
1990-10-01,22.4,0.00,3.42,0.150,0.099
1990-10-02,21.9,0.00,3.73,0.150,0.099
1990-10-03,20.9,0.00,3.44,0.150,0.099
1990-10-04,20.2,0.60,2.95,0.150,0.103
1990-10-05,20.2,0.00,3.71,0.150,0.104
1990-10-06,21.4,0.00,3.72,0.150,0.101
1990-10-07,21.2,0.00,3.50,0.149,0.100
1990-10-08,20.0,0.00,3.73,0.149,0.100
1990-10-09,19.0,0.00,3.68,0.149,0.099
1990-10-10,19.3,0.00,3.54,0.149,0.098
1990-10-11,18.9,0.00,3.40,0.149,0.098
1990-10-12,19.4,1.70,2.96,0.149,0.101
1990-10-13,21.1,0.30,3.21,0.150,0.111
1990-10-14,23.6,0.70,3.94,0.150,0.110
1990-10-15,20.8,2.60,2.56,0.152,0.134
1990-10-16,19.9,0.00,3.15,0.152,0.141
1990-10-17,20.6,0.00,2.81,0.151,0.132
1990-10-18,21.0,0.50,2.79,0.151,0.133
1990-10-19,19.7,2.70,2.07,0.154,0.163
1990-10-20,19.5,0.00,2.70,0.154,0.163
1990-10-21,19.5,4.80,2.27,0.155,0.188
1990-10-22,17.8,13.20,2.58,0.167,0.323
1990-10-23,17.8,0.00,2.45,0.168,0.286
1990-10-24,17.8,0.10,2.54,0.166,0.254
1990-10-25,18.0,0.00,2.49,0.165,0.237
1990-10-26,16.9,0.00,2.45,0.164,0.218
1990-10-27,17.7,0.00,2.02,0.163,0.204
1990-10-28,17.7,0.00,2.48,0.162,0.193
1990-10-29,18.3,0.00,2.68,0.161,0.179
1990-10-30,18.2,0.00,2.48,0.160,0.168
1990-10-31,18.1,0.00,2.70,0.159,0.157
1990-11-01,18.1,1.10,1.98,0.159,0.162
1990-11-02,16.7,0.00,2.27,0.159,0.159
1990-11-03,15.8,0.00,2.19,0.158,0.151
1990-11-04,16.3,0.00,2.38,0.157,0.144
1990-11-05,16.3,0.00,2.48,0.156,0.137
1990-11-06,17.5,0.70,2.15,0.156,0.134
1990-11-07,19.3,4.60,1.95,0.157,0.146
1990-11-08,19.2,0.00,2.19,0.159,0.175
1990-11-09,18.8,0.00,2.18,0.158,0.168
1990-11-10,18.0,0.00,2.39,0.157,0.160
1990-11-11,16.7,0.00,2.51,0.157,0.152
1990-11-12,17.9,0.00,2.92,0.156,0.143
1990-11-13,17.6,0.00,2.57,0.155,0.135
1990-11-14,17.7,0.00,2.22,0.155,0.129
1990-11-15,17.4,0.00,2.27,0.154,0.125
1990-11-16,17.0,0.00,2.33,0.154,0.121
