latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.919155,-5.498749,526.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-04-23,10.4,0.50,3.66,0.382,0.366
1990-04-24,10.9,1.20,3.22,0.381,0.369
1990-04-25,12.0,0.10,3.76,0.380,0.375
1990-04-26,14.2,0.70,4.25,0.378,0.370
1990-04-27,17.0,6.70,4.65,0.377,0.377
1990-04-28,13.2,3.60,1.70,0.379,0.413
1990-04-29,12.9,14.00,2.45,0.384,0.437
1990-04-30,13.0,5.80,3.23,0.394,0.465
1990-05-01,14.6,0.00,4.21,0.395,0.460
1990-05-02,16.3,0.50,4.55,0.392,0.440
1990-05-03,18.4,0.40,4.81,0.390,0.426
1990-05-04,18.8,3.10,4.75,0.387,0.419
1990-05-05,18.0,0.70,4.32,0.387,0.428
1990-05-06,18.1,0.00,4.52,0.385,0.418
1990-05-07,18.2,0.00,4.82,0.382,0.402
1990-05-08,16.8,7.40,3.06,0.382,0.424
1990-05-09,16.4,10.50,2.93,0.387,0.458
1990-05-10,15.0,27.80,2.46,0.409,0.486
1990-05-11,15.6,4.70,3.38,0.417,0.484
1990-05-12,15.9,0.80,2.75,0.418,0.470
1990-05-13,18.2,0.00,4.40,0.416,0.464
1990-05-14,18.9,0.00,5.19,0.413,0.447
1990-05-15,19.3,0.20,4.47,0.409,0.434
1990-05-16,18.3,0.00,2.92,0.407,0.425
1990-05-17,17.4,0.00,3.35,0.404,0.418
1990-05-18,16.6,0.00,4.09,0.402,0.409
1990-05-19,16.8,0.00,3.31,0.400,0.401
1990-05-20,17.0,0.00,5.00,0.397,0.393
1990-05-21,16.3,0.00,5.14,0.394,0.381
1990-05-22,16.2,0.00,4.85,0.391,0.371
1990-05-23,15.5,0.00,4.73,0.388,0.362
1990-05-24,15.6,0.00,5.12,0.385,0.354
1990-05-25,17.6,0.00,5.34,0.382,0.346
1990-05-26,19.5,0.00,5.55,0.379,0.338
1990-05-27,19.5,0.20,5.46,0.377,0.332
1990-05-28,20.6,0.00,5.96,0.374,0.326
1990-05-29,22.3,0.00,7.91,0.371,0.317
1990-05-30,24.2,0.00,6.36,0.368,0.309
1990-05-31,24.4,1.30,5.83,0.365,0.307
1990-06-01,24.4,1.60,6.40,0.363,0.313
1990-06-02,20.7,0.00,5.30,0.362,0.314
1990-06-03,19.9,3.80,3.73,0.360,0.316
1990-06-04,16.5,32.60,2.19,0.387,0.461
1990-06-05,17.2,0.10,3.34,0.394,0.460
1990-06-06,18.7,0.00,5.15,0.392,0.441
1990-06-07,20.3,0.00,5.59,0.388,0.422
1990-06-08,22.5,0.00,5.69,0.385,0.406
1990-06-09,22.4,0.00,5.58,0.381,0.392
1990-06-10,20.0,0.00,4.75,0.378,0.381
1990-06-11,18.6,0.00,4.43,0.375,0.372
1990-06-12,18.7,0.00,4.70,0.373,0.363
1990-06-13,18.6,0.00,4.48,0.370,0.355
1990-06-14,19.7,0.00,5.44,0.368,0.347
1990-06-15,20.1,0.00,4.78,0.365,0.339
1990-06-16,18.6,0.00,4.01,0.363,0.333
1990-06-17,18.5,0.00,5.51,0.361,0.327
1990-06-18,19.3,0.00,5.47,0.359,0.321
1990-06-19,20.1,0.00,5.68,0.356,0.314
1990-06-20,19.5,0.00,5.24,0.354,0.309
1990-06-21,19.0,0.00,5.32,0.352,0.305
1990-06-22,19.1,0.00,5.64,0.350,0.301
1990-06-23,21.4,0.00,5.65,0.348,0.297
1990-06-24,23.0,0.00,5.86,0.346,0.293
1990-06-25,23.5,0.00,5.74,0.344,0.290
1990-06-26,24.7,0.00,6.17,0.342,0.288
1990-06-27,23.1,0.00,5.98,0.341,0.285
1990-06-28,21.8,0.00,5.47,0.339,0.283
1990-06-29,22.2,0.00,5.49,0.337,0.281
1990-06-30,23.5,0.00,5.89,0.336,0.280
1990-07-01,23.5,0.00,6.00,0.334,0.278
1990-07-02,23.6,0.00,6.01,0.333,0.276
1990-07-03,23.7,0.00,6.12,0.331,0.275
1990-07-04,24.6,0.00,6.23,0.330,0.274
1990-07-05,25.4,0.00,6.31,0.328,0.272
1990-07-06,24.6,0.00,6.22,0.327,0.271
1990-07-07,25.4,0.00,6.31,0.325,0.270
1990-07-08,27.1,0.00,6.74,0.324,0.270
1990-07-09,27.7,0.00,6.43,0.323,0.269
1990-07-10,28.0,0.00,6.34,0.321,0.268
1990-07-11,27.9,0.00,6.39,0.320,0.267
1990-07-12,26.2,0.00,6.03,0.319,0.267
1990-07-13,24.2,0.00,5.47,0.318,0.266
1990-07-14,21.7,0.00,5.44,0.317,0.266
