latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.896309,-6.9230957,1112.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³),et0_fao_evapotranspiration (mm)
1990-04-23,12.8,0.00,0.166,0.059,5.67
1990-04-24,10.8,0.00,0.165,0.062,4.21
1990-04-25,12.7,0.00,0.165,0.064,5.78
1990-04-26,16.0,0.00,0.165,0.062,6.27
1990-04-27,14.8,0.40,0.165,0.064,5.98
1990-04-28,13.0,0.00,0.165,0.065,5.68
1990-04-29,13.6,0.00,0.165,0.063,4.88
1990-04-30,15.1,0.00,0.164,0.062,5.95
1990-05-01,16.6,0.00,0.164,0.060,5.12
1990-05-02,18.3,0.00,0.164,0.060,5.87
1990-05-03,18.5,0.00,0.164,0.061,6.08
1990-05-04,19.5,0.00,0.164,0.063,6.01
1990-05-05,19.7,0.00,0.163,0.061,6.08
1990-05-06,20.0,0.00,0.163,0.061,5.33
1990-05-07,19.0,0.00,0.163,0.065,4.80
1990-05-08,20.5,0.10,0.163,0.065,6.95
1990-05-09,19.2,0.00,0.163,0.063,7.08
1990-05-10,14.8,1.20,0.163,0.075,4.50
1990-05-11,16.3,0.00,0.164,0.089,5.61
1990-05-12,18.6,0.00,0.163,0.074,6.40
1990-05-13,22.1,0.00,0.163,0.064,7.25
1990-05-14,24.0,0.00,0.162,0.060,7.84
1990-05-15,25.0,0.00,0.162,0.058,8.36
1990-05-16,24.8,0.00,0.161,0.058,7.90
1990-05-17,23.7,0.00,0.161,0.058,7.66
1990-05-18,24.2,0.00,0.161,0.057,7.77
1990-05-19,23.9,0.00,0.161,0.057,7.34
1990-05-20,24.0,0.00,0.161,0.057,7.27
1990-05-21,23.5,0.00,0.161,0.057,7.53
1990-05-22,21.7,0.00,0.161,0.057,7.93
1990-05-23,20.9,0.00,0.161,0.057,7.41
1990-05-24,22.9,0.00,0.160,0.057,6.97
1990-05-25,25.0,0.00,0.160,0.057,7.28
1990-05-26,25.8,0.00,0.160,0.057,7.66
1990-05-27,24.9,0.00,0.160,0.057,7.51
1990-05-28,25.6,0.00,0.160,0.057,6.85
1990-05-29,24.8,0.00,0.160,0.057,7.74
1990-05-30,24.6,0.00,0.160,0.057,7.72
1990-05-31,23.6,0.00,0.159,0.057,7.50
1990-06-01,24.1,0.00,0.159,0.058,8.77
1990-06-02,24.3,0.00,0.159,0.058,8.59
1990-06-03,23.2,0.00,0.159,0.057,8.13
1990-06-04,18.5,0.20,0.159,0.059,5.75
1990-06-05,20.3,0.00,0.159,0.060,7.28
1990-06-06,23.7,0.00,0.159,0.058,7.21
1990-06-07,25.5,0.10,0.158,0.058,7.30
1990-06-08,26.0,0.00,0.159,0.059,7.50
1990-06-09,27.3,0.00,0.158,0.058,8.44
1990-06-10,27.9,0.00,0.158,0.057,9.08
1990-06-11,27.0,0.00,0.158,0.057,8.23
1990-06-12,24.9,0.00,0.158,0.057,7.90
1990-06-13,25.5,0.00,0.158,0.057,8.20
1990-06-14,26.2,0.00,0.158,0.057,8.02
1990-06-15,26.9,0.00,0.158,0.058,5.87
1990-06-16,27.0,0.10,0.158,0.058,7.23
1990-06-17,25.7,0.00,0.158,0.058,8.32
1990-06-18,26.1,0.00,0.157,0.057,8.74
1990-06-19,28.0,0.00,0.157,0.058,7.98
1990-06-20,25.6,0.00,0.157,0.058,8.01
1990-06-21,25.2,0.00,0.157,0.057,7.49
1990-06-22,26.5,0.00,0.157,0.057,8.16
1990-06-23,26.7,0.00,0.157,0.057,9.16
1990-06-24,28.1,0.00,0.157,0.057,9.94
1990-06-25,29.6,0.00,0.157,0.057,9.67
1990-06-26,30.2,0.00,0.157,0.057,8.94
1990-06-27,29.0,0.00,0.157,0.057,8.43
1990-06-28,28.7,0.00,0.157,0.057,9.26
1990-06-29,29.8,0.00,0.157,0.057,8.85
1990-06-30,29.9,0.00,0.156,0.057,8.56
1990-07-01,28.9,0.00,0.156,0.057,7.40
1990-07-02,29.4,0.00,0.156,0.057,7.35
1990-07-03,29.8,0.00,0.156,0.057,7.50
1990-07-04,29.9,0.00,0.156,0.057,7.39
