latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.56766,-7.5836487,23.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-04-23,14.7,1.00,3.83,0.224,0.194
1990-04-24,15.1,0.00,4.16,0.223,0.194
1990-04-25,15.0,0.00,4.34,0.222,0.191
1990-04-26,16.1,0.60,4.23,0.221,0.185
1990-04-27,17.9,2.10,4.18,0.220,0.194
1990-04-28,16.5,1.70,3.86,0.220,0.202
1990-04-29,16.0,8.00,2.78,0.224,0.270
1990-04-30,16.4,0.80,3.63,0.225,0.278
1990-05-01,16.9,0.00,3.93,0.224,0.264
1990-05-02,17.9,0.00,4.53,0.222,0.246
1990-05-03,19.6,0.00,4.75,0.220,0.230
1990-05-04,19.6,0.20,4.91,0.218,0.215
1990-05-05,18.8,0.00,4.82,0.216,0.203
1990-05-06,18.3,0.00,3.63,0.215,0.193
1990-05-07,19.0,0.00,4.11,0.213,0.185
1990-05-08,17.8,13.10,2.32,0.217,0.247
1990-05-09,17.8,24.80,1.92,0.228,0.357
1990-05-10,18.1,9.70,2.22,0.232,0.349
1990-05-11,18.6,0.00,3.73,0.235,0.335
1990-05-12,17.9,0.20,3.10,0.233,0.306
1990-05-13,17.9,0.00,4.55,0.231,0.286
1990-05-14,18.6,0.00,4.54,0.229,0.266
1990-05-15,19.4,0.00,4.73,0.227,0.250
1990-05-16,18.7,0.00,3.58,0.225,0.236
1990-05-17,18.2,0.00,3.57,0.223,0.226
1990-05-18,18.6,0.00,4.39,0.221,0.216
1990-05-19,18.8,0.00,4.35,0.219,0.207
1990-05-20,18.6,0.00,5.08,0.217,0.198
1990-05-21,18.4,0.00,5.02,0.215,0.189
1990-05-22,18.6,0.00,4.66,0.214,0.182
1990-05-23,18.5,0.00,4.79,0.212,0.177
1990-05-24,18.3,0.00,5.19,0.210,0.171
1990-05-25,19.2,0.00,5.29,0.209,0.166
1990-05-26,20.0,0.00,5.37,0.207,0.162
1990-05-27,20.3,0.00,4.91,0.206,0.159
1990-05-28,20.9,0.00,5.22,0.204,0.156
1990-05-29,23.3,0.00,7.15,0.203,0.153
1990-05-30,22.4,0.00,5.60,0.201,0.150
1990-05-31,22.4,0.00,5.56,0.200,0.147
1990-06-01,22.6,0.20,5.81,0.198,0.145
1990-06-02,20.4,1.60,3.29,0.200,0.181
1990-06-03,20.7,0.00,4.95,0.199,0.178
1990-06-04,20.2,4.50,4.05,0.200,0.196
1990-06-05,19.7,0.10,3.97,0.199,0.198
1990-06-06,19.5,0.00,4.99,0.198,0.190
1990-06-07,20.2,0.00,5.42,0.197,0.180
1990-06-08,21.5,0.00,5.34,0.195,0.171
1990-06-09,20.9,0.00,5.02,0.194,0.164
1990-06-10,19.7,0.00,4.00,0.193,0.159
1990-06-11,19.4,0.00,4.78,0.192,0.155
1990-06-12,19.9,0.00,4.72,0.191,0.152
1990-06-13,20.3,0.00,4.71,0.190,0.149
1990-06-14,20.5,0.00,5.40,0.189,0.146
1990-06-15,20.3,0.00,4.54,0.188,0.144
1990-06-16,20.0,0.00,5.08,0.187,0.142
1990-06-17,20.0,0.00,5.52,0.187,0.141
1990-06-18,20.4,0.00,5.47,0.186,0.139
1990-06-19,20.6,0.00,5.45,0.185,0.138
1990-06-20,21.1,0.00,4.75,0.185,0.140
1990-06-21,20.7,0.00,5.13,0.184,0.141
1990-06-22,20.8,0.00,5.50,0.184,0.140
1990-06-23,21.9,0.00,5.22,0.183,0.139
1990-06-24,22.8,0.00,5.58,0.182,0.138
1990-06-25,22.8,0.00,5.46,0.182,0.137
1990-06-26,22.1,0.00,5.33,0.181,0.136
1990-06-27,21.5,0.00,5.14,0.180,0.135
1990-06-28,21.3,0.00,5.09,0.180,0.135
1990-06-29,21.6,0.00,5.42,0.179,0.135
1990-06-30,22.2,0.00,5.48,0.179,0.134
1990-07-01,22.1,0.00,5.46,0.178,0.134
1990-07-02,22.1,0.00,5.66,0.178,0.134
1990-07-03,22.2,0.00,5.51,0.177,0.133
1990-07-04,23.0,0.00,5.50,0.177,0.133
1990-07-05,23.3,0.00,5.55,0.176,0.133
1990-07-06,22.9,0.00,5.54,0.176,0.133
1990-07-07,22.8,0.00,5.74,0.175,0.133
1990-07-08,24.3,0.00,5.91,0.175,0.133
1990-07-09,24.6,0.00,5.67,0.174,0.133
1990-07-10,24.6,0.00,5.67,0.174,0.132
1990-07-11,23.8,0.00,5.51,0.173,0.132
1990-07-12,22.7,0.00,4.96,0.173,0.133
1990-07-13,21.9,0.00,4.98,0.173,0.133
1990-07-14,21.3,0.00,5.04,0.172,0.133
1990-07-15,21.9,0.00,5.42,0.172,0.133
1990-07-16,24.1,0.00,6.71,0.171,0.133
1990-07-17,26.8,0.00,7.67,0.171,0.133
1990-07-18,25.4,0.00,5.97,0.171,0.132
1990-07-19,24.0,0.00,5.26,0.170,0.132
1990-07-20,24.8,0.00,5.44,0.170,0.132
1990-07-21,26.3,0.00,4.52,0.169,0.132
1990-07-22,28.0,0.20,5.27,0.169,0.132
1990-07-23,27.5,0.00,5.82,0.169,0.132
1990-07-24,25.9,0.00,5.82,0.168,0.132
1990-07-25,24.5,0.00,4.45,0.168,0.132
1990-07-26,24.1,0.00,5.50,0.168,0.132
1990-07-27,22.9,0.00,5.42,0.167,0.132
1990-07-28,22.9,0.00,5.17,0.167,0.133
1990-07-29,23.4,0.00,5.76,0.167,0.133
1990-07-30,24.8,0.00,5.42,0.166,0.132
1990-07-31,25.1,0.00,5.37,0.166,0.132
1990-08-01,25.2,0.00,5.43,0.166,0.132
1990-08-02,25.7,0.00,5.78,0.166,0.132
