date,precip_sum,temp_mean,et0,soil_0_7cm,soil_0_100cm,ratio_p_et0,precip_sum_lag1,precip_sum_lag2,precip_sum_lag3,precip_sum_lag6,precip_sum_lag12,temp_mean_lag1,temp_mean_lag2,temp_mean_lag3,temp_mean_lag6,temp_mean_lag12,et0_lag1,et0_lag2,et0_lag3,et0_lag6,et0_lag12,soil_0_7cm_lag1,soil_0_7cm_lag2,soil_0_7cm_lag3,soil_0_7cm_lag6,soil_0_7cm_lag12,soil_0_100cm_lag1,soil_0_100cm_lag2,soil_0_100cm_lag3,soil_0_100cm_lag6,soil_0_100cm_lag12,ratio_p_et0_lag1,ratio_p_et0_lag2,ratio_p_et0_lag3,ratio_p_et0_lag6,ratio_p_et0_lag12,precip_sum_roll3,precip_sum_roll6,precip_sum_roll12,temp_mean_roll3,temp_mean_roll6,temp_mean_roll12,et0_roll3,et0_roll6,et0_roll12,ratio_p_et0_roll3,ratio_p_et0_roll6,ratio_p_et0_roll12,ville_Agadir,ville_Fes,ville_Marrakech,ville_Ouarzazate,ville_Rabat,ville_casa,ville_errachidia,ville_meknes,ville_ouajda,month_sin,month_cos,target_H3,target_H6,target_H12,SPI_3,SPI_6,SPI_12
1991-01-01,-0.7415181012241109,-1.7779580432578284,-1.0517598978637324,-0.8651679189574173,-0.730919771664463,-0.5967064291416305,-0.13830971015332733,-0.6759954862191644,-0.7497364684826751,-0.7235076943576748,-0.5969074986504719,-1.5991026322449708,-0.5546479228004875,0.5177152995521809,2.193823410529184,-2.0655414960183713,-1.2464224715589973,-0.7315806581072287,0.39405199370470473,2.1942306397684708,-1.3143994219574426,-0.5461986895090978,-1.0820623654294381,-1.1096218608723445,-1.1122940319137993,0.38388202635813967,-0.7325866176226744,-0.7952433983131185,-0.78695132499978,-0.7169971758341885,-0.1527215679954915,0.05572155928410298,-0.5511563801125466,-0.6026295207334382,-0.5964230427282569,-0.42089782101157713,-0.6952058056501544,-1.0633134666282356,-1.3101726511434622,-1.455741432403932,0.02949926929979767,1.5194088613952859,-1.1111494761100313,0.09872034777275554,1.6689542766226304,-0.47142964983174057,-0.8063741650037625,-1.217987839040035,False,False,False,False,False,False,True,False,False,0.49999999999999994,0.8660254037844387,1.0,2.0,1.0,0.0015750222206928966,-0.8865641225355808,-0.7841019531891626
1991-01-01,-0.6463226718385389,-0.6869947884148624,-1.004829652646533,-0.5538077820018081,-0.05855175381064657,-0.5137044497295254,1.6420065942357978,-0.6172199500155471,-0.670574053595143,-0.7489525834209756,-0.32577961968339153,-0.4332521806725482,0.046253926607520354,0.46318314613227984,1.0142335174215007,-0.7612997619517952,-1.1526604061940142,-0.8873192276614944,-0.4729423813016262,0.788818867380235,-1.1551357930829425,0.04437739088224814,-1.0842974962702472,-1.1217862119800406,-1.160436515298818,0.225231629503467,-0.23431638507706512,-0.6470210945978163,-0.6224779273081532,-0.46006663487565314,0.7441169437526617,1.7585805521425284,-0.4981004877498791,-0.5536292978033948,-0.6023805899155089,-0.18185130667733826,0.1702752891099711,-0.5079462177413054,-0.6814887544145392,-0.39759662023382175,0.4571081446560273,1.5724960647803694,-1.1166594069473497,-0.6001575879927142,-0.39983710315864235,0.32571569620807633,-0.27982228048076263,-0.6609105790822749,True,False,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0,0.013520285301223471,-0.4212215404218466,-0.37938067166916806
1991-01-01,-0.304739072278545,-1.822806953684756,-1.338474364737559,0.4983840697066866,-0.04994168606164531,-0.07647309489590652,0.9880128497663235,-0.03506225809400405,-0.47549524547943894,-0.6669634964392286,0.5222160868732212,-1.6876209072717658,-0.8994551121543853,-0.07619924264477003,1.179279016868666,-1.7817056862877054,-1.5647007325049742,-1.093627026859263,-0.480271158774207,1.1942120180964975,-1.4714637832295334,0.8350526370577677,-0.40062685033778633,-0.5581712773234632,-0.7739443312696507,0.9175982332128343,-0.1621828502317528,-0.5524024733220202,-0.5555868325531848,-0.40591358239670033,-0.1157016027968327,2.111434135862882,0.06700368968897562,-0.43357110614314276,-0.576444717588682,1.1338641271447807,0.2903420305795842,-0.29296534720442924,-0.11010677535622086,-1.6328220736968226,-0.5394462489420755,-1.4007952322559578,-1.465800878053528,-0.8180333108997901,-0.6558452472170789,0.9116067309290455,0.17214159946103125,-0.08131631893269141,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,2.0,1.0,0.0,-0.036754241865079786,-0.982500217930868,-0.7578613002501114
1991-01-01,-0.6043246882860805,-1.0176879592736516,-1.2176656475573469,0.3318928853623679,-0.2722379806722205,-0.45138113062434465,0.6945541182736104,-0.07424594889641566,-0.12774606579492304,-0.7461253735250534,0.3866521473896812,-0.7090621717621355,-0.24889656395593018,0.30606575360563143,0.9888833916894197,-1.005204298070162,-1.399518343912758,-1.056249770166239,-0.5542918112472751,0.8685052752255011,-1.300287454841981,0.9103936185068695,0.145024466174717,0.02166279214337515,-0.4277511923212011,1.2004569749554383,-0.22373157289867687,-0.5243823665922782,-0.5736867758398232,-0.44662719119474503,1.0450534350449845,1.2264175368888768,0.010745850065641174,-0.20341544406616244,-0.6014148848501958,0.6786422356386458,0.007684910036537232,-0.4395432134795722,-0.34968336447427395,-0.731449083412067,0.0938426630699197,0.31716326339384554,-1.3472029764941735,-0.842047579350992,-0.9068680181131801,0.3418922687115213,-0.16099985822762075,-0.39110948041697063,False,False,False,False,False,True,False,False,False,0.49999999999999994,0.8660254037844387,1.0,2.0,1.0,-0.6201701711453879,-0.8953855339746927,-0.4172330572467156
1991-01-01,-0.2655409542962506,-1.153315387191227,-1.3302249075704733,0.6273066264148686,0.2635430533451689,-0.03499657999551666,1.6196478337411153,0.5526931039421692,0.016442618464510308,-0.7404709537332087,0.7356571830813484,-0.8121535774335854,-0.3331455697689378,0.2612522017853158,1.0767997851857853,-1.0704973265443263,-1.4564714734606288,-1.1092008838146894,-0.5876377487475185,0.9154011842103015,-1.333093196577925,1.2868284863923456,-0.012272866747218076,-0.26838940204679607,-0.7268837014438457,1.3756504046445306,0.22631895972316368,-0.5621485974019305,-0.6472669800702883,-0.4493941354819912,1.7356947212780274,2.607214358869479,0.6349682040106743,-0.10128696047063476,-0.5994901931565987,1.1276453949282363,0.8531548812183943,0.20132779073452445,0.21460409144387416,-0.8510291716925454,0.016220878631751985,0.08421939701560745,-1.4287768305978876,-0.9210348093499998,-1.052597861386258,1.3901180741657473,0.5780324265065252,0.23743284240120713,False,False,False,False,True,False,False,False,False,0.49999999999999994,0.8660254037844387,1.0,2.0,1.0,-0.2074721286540126,-0.5040192573983385,-0.3693956096872793
1991-01-01,-0.7499176979346025,-1.5574959293519692,-0.8178419568592546,-1.0151721516053018,-0.741095306276919,-0.6043363273709271,-0.5966643002943266,-0.743167527594727,-0.7440820102764227,-0.7291621141495194,-0.5622954289950999,-1.5397306185074864,-0.5942616937456762,0.2466742993859362,1.8799133429532027,-2.0002484675442065,-1.0653078570160908,-0.58481995903315,0.3484303539378884,2.0200196653757163,-1.2533697459905746,-0.791664467778752,-1.0421094016499768,-1.0493407431608737,-1.058742280732711,0.301438059445626,-0.7114169932658982,-0.7249900872370986,-0.7133711207693153,-0.6478235686530444,-0.15112931142780692,-0.4635253253661472,-0.5999418383688585,-0.6002321676510688,-0.5975917639282591,-0.3946133163644553,-0.9340885933657384,-1.2107056543826846,-1.368020301363311,-1.3668345265696245,-0.18937535331432748,0.533883648175812,-0.9051318182171247,0.11247478884461955,1.6486896579349894,-0.7209820693115826,-0.9653711398437932,-1.2777546641394442,False,False,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0,-1.0194734876480682,-1.5725660638262564,-0.44736707344755305
1991-01-01,-0.1731453904808425,-1.6163938960572108,-1.3324247628150294,1.8213943738713625,1.983991136281942,0.07518393836342545,1.711877720781682,1.1572414763222332,0.2708932377458635,-0.6500002370636946,0.7962283049782494,-1.3583761038184428,-0.6690257121492723,0.02584607415088848,1.606455603673095,-1.6354708869777996,-1.5115933126693393,-1.121843191225565,-0.5946000873464706,1.335266119339842,-1.3853258021351547,2.2851640004329528,1.5878014239169431,1.3675806624815519,0.5867569828316375,2.3001618625549223,1.9351780814118424,1.136113523522437,1.0116321698529163,1.136064941109833,2.9800432289232677,2.9735148437485153,1.2298154720603776,0.06775427392852541,-0.5723172000364529,1.302965658350512,1.205850934285382,0.7485518248283912,1.019013869029319,-1.3491317945885224,-0.20365008886419678,-0.2268314225009504,-1.4544450449863717,-0.8140458670711394,-0.6750481660645922,1.85372490320022,1.0312683464621497,0.7837320331274964,False,True,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,1.0,1.0,0.0,0.12787521802015095,-0.10699734656987665,-0.03224588298626441
1991-01-01,-0.7079197143821443,-1.537503041571291,-1.0898907221027068,-0.10055174929820042,-0.5207558452456624,-0.5649619065920782,0.20545623245242225,-0.48287586726442183,-0.6083750133263678,-0.6471730271677724,-0.031577027612729916,-1.3146567118844772,-0.6137896090003468,0.03340498650612207,1.481862432521803,-1.617124085588365,-1.3141802141079104,-0.9367891262257906,-0.3833480766993236,1.322259832082339,-1.2071851263399713,0.5436801675825678,-0.21287585970982814,-0.35894623807075454,-0.5188973546849727,0.617111669597488,-0.4558133806618563,-0.6945334494873788,-0.7161254599651079,-0.7213452311427176,-0.2713446822879678,0.4991251362153566,-0.3828176920400581,-0.5197469712380741,-0.5713384043295793,0.1395554542061523,-0.44006398002722724,-0.7595715548469671,-0.7027723238350494,-1.2832864296633322,-0.21374390056416998,0.036624289139285664,-1.2252453610096252,-0.564449804493446,-0.04832213435139521,-0.1926639028657751,-0.5582172108358132,-0.8066676518952567,False,False,True,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,2.0,2.0,0.0,-0.8866136391825203,-1.6993986889405372,-1.0330285324820736
1991-01-01,-0.2767404165769062,-1.6488147951610137,-1.3327914053557888,1.8303135444612366,2.041913410229768,-0.04664945074100724,2.0835921140057847,0.8521684550748858,0.3924640891802877,-0.6160737183126269,0.6981607742880287,-1.3869826195283215,-0.7638755862433869,-0.12533217295378984,1.34810006695678,-1.702922362674251,-1.5207497643651384,-1.1146975392107223,-0.6240984166736091,1.2189422826002005,-1.3748792810237087,2.2843538823528537,1.6123878631658426,1.5178779783899727,0.7557966014588103,2.2546007229453755,1.9822216910935677,1.1803771703853634,1.0887536673351144,1.3348896520362075,3.002732885012768,3.563500073625939,0.9270061086396283,0.16094072833448309,-0.5605779407240007,1.16202418720773,1.1895918963780385,0.6353611392048083,0.9262393356578634,-1.4068522987136518,-0.39606570230353094,-1.0045314427636933,-1.455318570606922,-0.8480959492034396,-0.7911427355393428,1.9260805388632738,1.0500175222496757,0.7808681098491234,False,False,False,False,False,False,False,True,False,0.49999999999999994,0.8660254037844387,1.0,1.0,0.0,0.08278298521114491,-0.14480793187693314,0.09310070399201276
1991-02-01,1.6383676334151906,-1.5769870651227076,-1.3639560213203352,2.3388027959043036,2.296427571985549,2.3065282873590394,-0.17743754101902245,1.7170084877852552,1.17560655074623,-0.5849744094574816,-0.6315195683058438,-1.613675762889626,-1.359503998628704,-0.6691419246817623,1.6781910658511108,-0.8440145430058427,-1.330112440058601,-1.5128386117300392,-1.1220888459354872,1.1788242979608596,-0.9064352817104487,1.8179959075765146,2.2905157451180713,1.5881608959011044,0.6143442485915924,1.680514866878821,1.9869260520617407,1.9409416382342766,1.1367709806484358,0.9566088401941785,2.574344785423219,0.06855970013589065,2.9843905045510435,1.2397463716483255,-0.550153978359273,-0.5021468400830079,1.41971981752813,1.3951230793976321,1.461057233916843,-1.6848314662458626,-1.0461767469931564,-0.5760869290873164,-1.5428055212189784,-1.435907893382103,-0.7908657703636586,2.314734980840003,1.8364660559760875,1.356677565151257,False,True,False,False,False,False,False,False,False,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,0.4799774683836589,0.1947620223779443,0.5114699457069344
